7.68,0.2,0.05,0.3,10.1,0.34,0.79,0.79,6.35,0.31,0.15,0.64,0.05,0.05,0.05,0.05,1.4912621359223297,0.0,3.2901554404145075
4.85,0.31,0.95,0.98,9.13,0.74,0.54,0.63,2.44,0.73,0.04,0.55,0.05,0.05,0.05,2.37,228.91999999999996,0.0,0.0
3.18,0.15,0.66,0.4,5.1,0.03,0.77,0.62,5.02,0.7,0.92,0.8,0.05,0.05,0.05,1.39,0.0,34.178712220762144,11.926269797924629
0.53,0.3,0.38,0.79,8.1,0.56,0.21,0.74,2.06,0.79,0.26,0.95,0.05,0.05,0.05,0.35,0.0,0.0,14.008
4.2,0.82,0.1,0.02,7.47,0.37,0.42,0.08,10.01,0.68,0.56,0.44,0.05,0.05,0.05,0.15,2.903225806451613,4.527272727272727,5.107142857142858
4.63,0.9,0.32,0.16,9.52,0.61,0.5,0.93,5.4,0.64,0.14,0.76,0.05,0.05,0.05,2.92,0.0,0.0,314.28000000000003
5.66,0.64,0.38,0.91,9.0,0.44,0.64,0.94,4.02,0.33,0.78,0.18,0.05,0.05,0.05,0.89,0.0,158.4,0.0
0.33,0.59,0.34,0.56,5.21,0.68,0.26,0.55,9.61,0.29,0.61,0.64,0.05,0.05,0.05,2.85,0.0,0.0,545.8479999999998
10.4,0.74,0.59,0.44,6.45,0.08,0.29,0.55,5.32,0.85,0.04,0.44,0.05,0.05,0.05,0.66,135.20000000000002,0.0,0.0
5.39,0.73,0.55,0.09,7.41,0.33,0.74,0.39,8.97,0.69,0.53,0.57,0.05,0.05,0.05,2.24,115.69040553907023,2.1145536078271507,0.0
5.91,0.23,0.98,0.89,1.79,0.49,0.77,0.42,0.97,0.42,0.94,0.46,0.05,0.05,0.05,2.6,0.0,92.72200000000001,0.0
9.38,0.16,0.89,0.05,6.8,0.73,0.89,0.21,7.96,0.14,0.16,0.29,0.05,0.05,0.05,0.96,0.0,0.0,151.24000000000004
6.08,0.89,0.14,0.79,6.92,0.99,0.44,0.79,9.18,0.83,0.58,0.22,0.05,0.05,0.05,1.86,224.95999999999998,0.0,0.0
8.46,0.27,0.88,0.5,3.37,0.2,0.47,0.71,8.28,0.11,0.42,0.29,0.05,0.05,0.05,2.97,0.0,199.50400000000002,0.0
9.9,0.97,0.65,0.48,1.59,0.85,0.15,0.09,7.97,0.97,0.44,0.31,0.05,0.05,0.05,1.7,334.61999999999995,0.0,0.0
7.92,0.57,0.07,0.08,6.99,0.76,0.43,0.96,8.8,0.49,0.68,0.36,0.05,0.05,0.05,2.29,3.719706932181101,138.24666666666667,0.0
3.39,0.95,0.31,0.21,4.4,0.36,0.27,0.83,1.64,0.29,0.02,0.9,0.05,0.05,0.05,1.29,0.0,0.0,41.98400000000001
0.12,0.87,0.61,0.76,8.86,0.48,0.14,0.8,1.91,0.52,0.75,0.53,0.05,0.05,0.05,1.03,0.0,180.74399999999997,0.0
7.99,0.99,0.59,0.86,1.24,0.85,0.55,0.45,6.43,0.4,0.48,0.91,0.05,0.05,0.05,0.38,0.0,0.0,47.582
8.61,0.94,0.02,0.81,3.2,0.22,0.41,0.0,2.46,0.77,0.14,0.53,0.05,0.05,0.05,0.65,57.29676258992804,0.0,3.414972731779872
1.46,0.1,0.14,0.82,9.7,0.02,0.13,0.9,4.08,0.52,0.51,0.95,0.05,0.05,0.05,1.18,0.0,5.344352617079888,53.6093023255814
4.85,0.78,0.52,0.88,6.8,0.49,0.56,0.6,10.74,0.13,0.25,0.31,0.05,0.05,0.05,0.55,0.0,1.4064115822130296,61.19302325581395
9.56,0.25,0.36,0.11,2.78,0.11,0.49,0.5,4.85,0.56,0.84,0.52,0.05,0.05,0.05,2.54,10.041659248709276,34.575125808770665,0.8861390249979237
3.66,0.71,0.99,0.41,5.03,0.77,0.25,0.44,6.31,0.14,0.35,0.04,0.05,0.05,0.05,0.61,0.0,60.35999999999999,0.0
5.89,0.11,0.32,0.44,3.25,0.37,0.82,0.82,7.71,0.29,0.09,0.03,0.05,0.05,0.05,1.1,128.402,0.0,0.0
5.95,0.18,0.13,0.79,6.6,0.96,0.06,0.85,2.78,0.21,0.33,0.37,0.05,0.05,0.05,2.6,9.882481980570356,0.0,70.34963325183372
5.4,0.32,0.62,0.79,1.66,0.66,0.32,0.22,4.14,0.38,0.31,0.31,0.05,0.05,0.05,0.6,56.69039145907473,0.0,0.17336683417085427
4.66,0.26,0.33,0.89,7.33,0.76,0.45,0.4,5.64,0.05,0.69,0.45,0.05,0.05,0.05,1.19,0.0,172.98799999999997,0.0
2.96,0.22,0.73,0.19,10.24,0.1,0.51,0.01,3.04,0.34,0.79,0.02,0.05,0.05,0.05,1.18,0.0,239.61599999999999,0.0
6.94,0.54,0.1,0.95,7.95,0.54,0.6,0.96,1.53,0.0,0.86,0.68,0.05,0.05,0.05,0.18,0.0,27.03,0.0
6.04,0.51,0.36,0.81,8.17,0.01,0.61,0.58,3.18,0.38,0.61,0.43,0.05,0.05,0.05,2.0,0.0,142.8033613445378,4.624923453766074
2.39,0.31,0.81,0.5,4.69,0.41,0.1,0.57,4.12,1.0,0.77,0.56,0.05,0.05,0.05,1.48,70.266,0.0,0.0
1.45,0.14,0.23,0.65,7.59,0.73,0.26,0.6,3.38,0.14,0.84,0.66,0.05,0.05,0.05,0.55,0.0,81.972,0.0
5.28,0.96,0.1,0.68,2.29,0.36,0.15,0.38,1.45,0.19,0.91,0.75,0.05,0.05,0.05,1.87,0.0,85.188,0.0
6.68,0.69,0.65,0.07,4.33,0.68,0.25,0.82,3.74,0.16,0.08,0.4,0.05,0.05,0.05,1.47,0.0,0.0,109.20800000000001
5.35,0.78,0.05,0.5,10.13,0.33,0.07,0.27,6.78,0.27,0.32,0.7,0.05,0.05,0.05,2.1,9.010526315789471,0.0,187.7694610778443
9.59,0.63,0.64,0.79,6.27,0.47,0.74,0.03,0.99,0.55,0.84,0.92,0.05,0.05,0.05,1.67,0.0,52.78029850746269,2.6814734561213434
0.9,0.19,0.92,0.93,7.31,0.01,0.23,0.28,3.49,0.11,0.75,0.97,0.05,0.05,0.05,1.79,0.0,31.489230769230772,40.771028037383175
5.89,0.61,0.13,1.0,5.85,0.58,0.72,0.2,3.79,0.39,0.12,0.28,0.05,0.05,0.05,2.36,276.8299999999999,0.0,0.0
7.74,0.01,0.99,0.12,4.31,0.6,0.72,0.62,4.68,0.77,0.49,0.58,0.05,0.05,0.05,1.46,108.03180212014135,19.645027624309392,0.0
